,company,job_title,job_descr,time_of_scrape,job_search_term,job_location,salary_from_page_source_as_stated,salary_from_page_source_conv_hourly,salary_from_page_source_time_period,Num_reviews,Loc_from_title,date
0,Microsoft,Researcher: Machine Learning,Machine learning is having a transformative effect on many research area significantly altering the way many problem are and the scope of what is achievable Project Silica is developing a revolutionary storage technology by using laser to store data in glass The project provides an opportunity re-think how storage system are built and build a storage technology that s end-to-end optimized solely for the cloud from the material level up to the user interface Machine learning play a critical role in the design and development of the technology including enabling information density to be and successfully read back end-to-end optimization across hardware and software and reinforcement of different part of the system The Project Silica team is highly computer scientist physicist optical scientist chemist electrical and mechanical engineer and designer Tackling the hard technical challenge of making glass storage into a real technology present a myriad of unique opportunity for cross-disciplinary research including applying machine learning new problem domain Contract duration 2 year Responsibilities As a researcher on the project you will be empowered with various member of the team designing implementing and applying machine learning solution to various aspect of the system with the goal of making Silica into a successful storage technology deployed at scale in the cloud Problem area broadly vision for object detection and ML-driven and optimization of new physical process etc Qualifications Required Completed or on-track a PhD in a relevant discipline of deep learning Interest in applied research with real high-world impact Strong software engineering skill for rapid and accurate development Creative approach to problem solving Publications in top Working of storage system or storage development Hands-on experience with current deep learning framework e g PyTorch Tensorflow etc Microsoft is an equal opportunity employer All qualified applicant will for employment without regard to age family or medical care leave gender identity or expression genetic information marital status national origin physical or mental disability political affiliation protected veteran status race religion sex including pregnancy sexual orientation or any other characteristic protected by applicable law regulation and ordinance If you need assistance and or a reasonable due to a disability during the application or the recruiting process please send a request via the request form Benefits perk listed below may vary depending on the nature of your employment with Microsoft and where you work ,Tue Nov 24 13:58:47 2020,"title:(machine, learning)",,,,,7010.0,Cambridge,2020-11-24
1,Behold.ai,Machine Learning Engineer,Location London We are seeking an outstanding Machine Learning Engineer to join our Research Development team who can with the rest of the engineering team to build high quality data product ROLE RESPONSIBILITIES Build and develop machine learning solution to be applied across a range of medical examination Perform experiment to iterate and improve current model Investigate and diagnose model issue with a focus on patient wellbeing Engage with our Radiologists and Clinicians to better understand their process and the deployment environment Turn model into data with engineering team and integrate into process throughout behold ai Work with and autonomy to identify and pursue research area of interest QUALIFICATIONS Bachelor s Degree in Statistics Mathematics Computer Science Physics or similar with practical experience Passionate about applying machine learning technique to improve healthcare Keeps up to date with current literature and advancement in machine learning Experienced in building machine learning model and working vision problem Expert level Python experience and experience with mainstream deep learning and data science framework e g Pytorch Tensorflow Pandas SciKit Learn jupyter notebook etc Strong data and statistical analysis skill for model testing and validation Contributes positively to and supportive research and development environment NICE TO HAVE Doctorate Degree or Master s Degree in Statistics Mathematics Computer Science Physics or similar with equivalent practical experience Familiarity with deep vision method for localization detection classification or segmentation Strong software and data engineering experience for developing data visualisation and model validation tool Experience working with our tech stack including MongoDB ElasticSearch AWS of Software Development and Processes to ISO 13485 ISO 27001 Information Security Management System support and administration A full job description is available on request Please click the Contact Us button to enquire about this role ,Tue Nov 24 13:58:53 2020,"title:(machine, learning)",,,,,,London,2020-11-24
2,Amazon Dev Centre (London) Ltd,"Applied Science Internship - Speech Technologies, Computer Vision, Machine Learning",Experience programming in Java C Python or related languageMaster s in Computer Science Mathematics Machine Learning or related quantitative fieldEnrolled in a Master s or Ph D degree in science machine learning operation research statistic or related field Experience in designing experiment and statistical analysis of result Experience in understanding and ability to implement algorithm using both toolkits and with Java C or other programming language a well a with R MATLAB Python or similar scripting language Are you a MS or PhD student interested in a 2021 Applied Science Internship in the field of Speech Robotics Computer Vision or Machine Learning Deep Learning Do you enjoy diving deep into hard technical problem up with solution that enable successful product that improve the life of people in a meaningful way If this describes join our research team at Amazon As an Applied Science Intern you will have access to large datasets with billion of image and video to build large-scale machine learning system Additionally you will analyze and model terabyte of text image and other type of data to solve real-world problem and translate business and functional requirement into quick prototype or proof We are looking for smart scientist capable of using a variety of domain with machine learning and statistical technique to invent design evangelize and implement state-of-the-art solution for never-before-solved problem Machine Learning Science Amazon ha multiple position available for Machine Learning Scientists in Berlin Cambridge Edinburgh Iasi and Tuebingen A few of the team that are hiring include Core AIAmazon SearchAWS AIAdvertising TechnologiesCommunity ShoppingPrime Video Speech and Language Technology We are hiring in all area of spoken language understanding ASR NLP NLU text-to-speech TTS and Dialog Management Amazon ha multiple position available for Speech Scientists in Aachen Barcelona Berlin Cambridge Edinburgh Gdansk Haifa Tel Aviv and Turin A few of the team that are hiring currently include Alexa MLAlexa BrainAlexa ShoppingAmazon SearchCS Technology Computer Vision Amazon ha multiple position available for Computer Vision Scientists in location such a Berlin Barcelona Tuebingen Haifa and Tel Aviv We are currently hiring for multiple team including Visual SearchAmazon AI AWS Rekognition Amazon GoLab126 Enrolled in Ph D degree in science machine learning operation research statistic or related field Familiar with undergraduate curriculum science Technical understanding and discussing and tradeoff and new opportunity with technical team member Publications at top-tier or journal Excellent critical thinking with the ability to present your belief clearly in both verbal and written form Equal Opportunities Amazon is an equal opportunity employer We believe passionately that employing a diverse workforce is central to our success We make recruiting decision based on your experience and skill We value your passion to invent simplify and build EU Student Programs Team ,Tue Nov 24 13:58:58 2020,"title:(machine, learning)",,,,,67007.0,London,2020-11-24
3,Arm,Senior Product Manager - Machine Learning Tools,Abouttherole As a Product Manager for Machine Learning Tools at Arm you will market existing ML tool product and define future machine learning tooling solution and technology You will lead these product throughout their lifecycle responsible for of marketing requirement business planning analyzing industry trend building and maintaining supporting sale opportunity and setting up product in the internal database system You probably already know that both ML and CV have exceptional potential As a key member of our ML group you will report to the Director of Product Marketing and support our objective to keep Arm at the heart of and to ensure that ML run on Arm Your mission within the team would be to work with partner and the industry product roadmap to optimize our tool a machine learning vision technology evolves What will you be for The product manager s role at Arm is important to our organization If you love making new technology into a business while juggling ton of responsibility with travel and partnership then we want to talk with you You will handle the Product lifecycle starting with product definition through approval development release and maintenance You will including presentation white paper benchmark for product or product and their applicability in of the Arm roadmap a well a customer application and use case You will relationship with our Arm partner customer by working with Managers sale to secure licensing and key design win You will partner with our business development team to develop strategy that either explore new market expand existing one or both You will secure key industry and OEM endorsement You will support the sale and application engineering team a the product authority a well a providing suitable product training to enable the sale team to sell effectively You will work cross-functionally across Arm and with third-parties to ensure we provide eco-system around product and future product You will plan and execute activity with marketing to include press and analyst briefing product presentation and technology demonstration What skill experience and qualification do you To be successful in this role we fully equipped to demonstrate the following experience during the application interview process A deep of tool profiling and debugging A solid understanding of generation technology and ML framework A solid understanding of optimizing machine learning technology for deployment environment A good of open source development and the open A good of processor acceleration technology and the chip market Broad experience in technical marketing role You will have a strong engineering background and degree-level qualification ideally a degree in Computer Science Electrical Engineering or a similar discipline Excellent social and interpersonal skill Experience with writing business plan justification Your willingness to travel to meet with our customer What we are focusing on in your work Does your work experience demonstrate success in a product management technical marketing or other customer facing role Maybe you have in a development or technical support role then we would love for you this opportunity a a natural next step especially if your experience is in Machine Learning Do you have some of the following in your career experience We would be quite keen to speak with you Experience developing tool solution for software and system Experience developing ML application or middleware Experience working with open Experience driving global team to meet target and technology innovation Experience crafting or helping customer design solution Arm to global talent acquisition offering an attractive relocation package Our Core Beliefs lie at the heart of Arm and represent the essence of our organization and working together they articulate the uniqueness of Arm culture Passion for Progress Innovation that enables our ecosystem Arm and our people to thrive Work with pace and judgment Adapt to circumstance Take risk in support of Arm s progress Be for the decision you make Learn from failure Pursue innovation relentlessly We Not I Collaboration first ego last Start with long-term value to customer and partner and work back from there Collaborate and bring people with you Make the most of all the skill and across Arm share information with those who need it Care about the people around you Be your Brilliant Self Skillful individuality performance and fulfilment Be authentic Seek and embrace curiosity and challenge Give people trust and autonomy show people they can trust you to do brilliant work in pursuit of Arm s goal Arm ha a responsibility to ensure that all employee are eligible to live and work in the UK With office around the world Arm is a diverse organisation of innovative and highly talented professional By enabling a vibrant inclusive meritocratic and open workplace where all our people can grow and we our people to share their to Arm s success in the global marketplace LI-RB1 Arm is an equal opportunity to providing an environment of mutual respect where equal opportunity are available to all applicant We are a diverse organization of dedicated and innovative individual and don t discriminate on the basis of any characteristic ,Tue Nov 24 13:59:04 2020,"title:(machine, learning)",,,,,59.0,Cambridge,2020-11-24
4,Linux Recruit,"Software Engineer (Python), AI/Machine Learning - London",Artificial Intelligence or simply AI is one of the biggest tech buzz word of the year It seems to pop up in almost every other job advert in some way or another often being used in some distant team you ll never talk to Well how would you like to join a rapidly scaling where you ll immersed in it The entire product is 100 AI driven so there isn t really any getting away from it The good thing is that you won t need in AI just strong of Python and or C This position is for a software engineer who want to build state of the art AI technology solution using the latest tool This team in particular will see you building out the very platform is known for At the hub of everything going on you ll have full visibility over every project and be in a prime position to up skill and learn As such whilst your focus will be development you ll also have exposure to cloud infrastructure DevOps tool like Kubernetes Docker Terraform and AWS The type of person that would suit this role will have strong of Python and or C some of Cloud and DevOps ideally a Comp Sci or and an interest in AI You ll be based in central London in modern office with the latest toy Choose what you want to wear and pick your own hour within reason For more detail on this get in touch with myself Tom Booth at LinuxRecruit Or simply apply to this advert ,Tue Nov 24 13:59:09 2020,"title:(machine, learning)",,90000.0,47.42,Y,,London,2020-11-24
5,Samsung Electronics,Machine Learning Intern,Position Summary Samsung is the world s leading manufacturer of TV product and at SRUK we pushing the boundary of technology to develop innovative and exciting feature for our customer The DTV team at SRUK is looking for an exceptional intern to join our growing team in Staines-upon-Thames The team undertakes project involving the application of academic research into product for Samsung TV device The prospective candidate will have the opportunity to the development and optimisation of model and ML framework for the next generation of Samsung TV device Role and Responsibilities This is an exciting opportunity to work on some of Samsung s most advanced product before they are You will be a part of a dynamic research lab working with expert in DTV and AI Interns at Samsung Research UK are to write high quality research paper to patent towards the end of their internship It is expected that the successful applicant will currently be studying for a Master s level degree or a doctorate in Computer Science or a related subject Skills and Qualifications Required Skills Currently studying for a Master s level degree or a doctorate in Computer Science or a related subject Excellent of machine learning vision fundamental and such a CNNs RNNs LSTMs Deep Reinforcement learning Multi-task Learning Experience with automated machine learning method such a neural architecture search NAS architecture design hyper-parameter optimization and selection Programming skill in deep learning vision framework such a PyTorch TensorFlow Caffe Torch and OpenCV Programming experience in Python and or C C Excellent of linear algebra probability and statistic Desirable Skills Experience with deployment of machine learning method for mobile device Publications in top e g AAAI ICML ICCV CVPR NeurIPS SysML or similar Contribution to open source deep learning vision framework such a TensorFlow TensorFlow Lite OpenCV etc Experience vision algorithm and task such a object detection and pose estimation Experience with image and video processing algorithm such a image filtering Experience and numerical optimization method Understanding of performance optimisation for device with limited resource Please note we are ideally looking for someone who is available for a 6-12 month internship to start a soon a possible ,Tue Nov 24 13:59:15 2020,"title:(machine, learning)",,,,,8141.0,Thames,2020-11-24
6,Canon Medical Research Europe,Natural Language Processing / Machine Learning Scientist,Our R D centre of excellence are looking for a natural language processing NLP Scientist to join our newly formed Artificial Intelligence Research Team based in Edinburgh Scotland This is an excellent opportunity to be part of a global organisation developing advanced clinical application to transform patient care We strive to create technology that make a meaningful difference to people s life helping doctor to help restore patient health and well-being The AI Research Team develops machine learning algorithm for clinical decision support bioinformatics and medical data analysis used in product development at Canon Medical Systems R D centre worldwide You will be responsible for the creation and development of innovative algorithm and solution to empower advanced industry-leading medical application We are looking for an enthusiastic Scientist who enjoys working a part of a team and ha the drive and ability to learn and develop new skill You will have a proven understanding and research in NLP and machine learning An advanced degree qualification e g PhD or equivalent is You should have previously worked with large text datasets specific experience with medical text would be useful but not essential Solid experience in Python and relevant NLP and deep learning library is essential and awareness of good software engineering practice is desirable and team working skill are important a well a a rigorous and analytical approach to research and you should enjoy problem solving and applied research Real-world applied or industry experience would be a significant advantage Depending on experience you may also be expected to provide scientific guidance to the team and other group within and supervise doctoral student working within Academic publication of research is We aim to offer an inclusive flexible and balanced working environment by being an employer that care for and respect it employee We are part of a global family that work closely with other development team based in Japan America Canada and France giving the opportunity of work placement at partner site As an employer we want to provide you the right environment to allow you to develop your career by giving you time to learn new skill and pursue your own creative project ,Tue Nov 24 13:59:20 2020,"title:(machine, learning)",,,,,,Edinburgh,2020-11-24
7,SoulTek,Machine Learning Engineer,SoulTek s client a fast growing in Edinburgh are looking for a Machine Learning Engineer to join the team asap This is a chance to work with one of the fastest growing fintechs in Edinburgh helping people transform the way they manage their finance The key aspect of this role will be working with your team to develop machine learning algorithm and model that help classify banking another will be creating model that can help spending and habit Key skill Experience working in or academic DS role NLP experience Experience with transactional data would be greatly beneficial Python or experience This role is a fantastic opportunity to work problem that are helping people to change their financial future If you would like to learn more please apply Job Overview Expiration date 31st March 2021 Location Edinburgh Job Title Machine Learning Engineer Salary 50 000 60 000 ,Tue Nov 24 13:59:26 2020,"title:(machine, learning)",,60000.0,31.61,Y,,Edinburgh,2020-11-24
8,Bidnamic,Machine Learning Engineer,Are you ready to join the Bidnamic family We are seeking a Machine Learning Engineer to join our team in remote position possible You will be working alongside the CTO and COO to identify opportunity for data to drive build and scale the next generation of eCommerce marketing platform In this role you will have the opportunity of working in a small team of exceptionally talented and driven individual who are all making a massive impact on our business There is no micromanaging or babysitting at Bidnamic everyone here drive their own idea all the way from start to finish everyone is given an equal opportunity to flourish and see the fruit of their labour What is Bidnamic Bidnamic is a marketing technology platform that help retailer unlock the full potential of Google Shopping Our platform provides retailer with an unfair advantage on Google Shopping significantly increasing market share by and increasing revenue Our precision bid management increase efficiency of ad spend thus to acquire the right customer Bidnamic achieves this by applying machine learning to profile every product SKU in the retail catalogue it true bid value algorithmically Real-time performance analysis and high-frequency bid management react at the speed of the market unlocking the full revenue potential of every product Bidnamic wa born out of necessity whilst scaling our own eCommerce venture and we are now working with an of leading retailer where we are already delivering a 60 increase in revenue We are just at the beginning of this journey and this creates an exciting opportunity for your work to have a huge impact We are backed by notable Investors including the board advisor to Net-A-Porter Co-Founder of thought leader at Google IBM and founder of many of today s fastest growing startup Responsibilities Take on the challenge to mine and analyze data from the fastest growing retailer and be a crucial part in shaping our client success Drive and optimize the product development of the next generation marketing platform Data model and innovative algorithm are the key to Bidnamic s unique technology and you are ready to leave your mark skill both verbal and written in order to explain important information and insight of your work client or public relation understand and science fundamental including data structure architecture use exceptional mathematical skill in order to and work with the algorithm involved in this type of programming collaborate with data engineer to build data and model pipeline manage the infrastructure and data pipeline to to production build algorithm based on statistical modelling and build and maintain scalable machine learning solution in production use data modelling and evaluation strategy to find pattern and unseen instance analyse datasets to extract insight and decide on the appropriate technique research and implement best practice to improve the existing machine learning infrastructure provide support to engineer and product manager in implementing machine learning in the product We like to see proven expert ability in A variety of machine learning technique clustering decision tree learning artificial neural network etc and their real-world advantage drawback Manipulating data set and building statistical model ha a Master s or PhD in Statistics Mathematics Computer Science or another quantitative field Experience using language R Python SQL SciKit-Learn Panda NumPy SciPy etc to manipulate data and draw insight from database and large data set of advanced statistical and data mining technique GLM Regression Random Forest Boosting Trees Neural network NLP text mining etc and experience of application Strong problem-solving skill ideally in the field of product development Development skill set requirement Python 4 year of experience Experience in multiprocessing in Python Experience with relational database such a Postgres or those based on similar SQL dialect CI CD with Gitlab Terraform and Elastic Beanstalk Familiarity with scientific Python library such a NumPy SciPy and Pandas Experience in creating data intensive high frequency or big data application challenge and developing and deploying scalable application using cloud service using AWS e g EC2 S3 SES Distributed application with Docker Experience with Test Driven Development TDD Understanding of mainstream software development methodology value and This includes OO and design pattern A desire to make work fun and enjoyable Considered a a plus Experience with Apache Airflow Experience analysing data from 3rd party provider Google AdWords Google Analytics Google BigData Bing Ads Experience with Redis Experience developing with Google APIs No recruiter no agency and we are not sponsoring ,Tue Nov 24 13:59:32 2020,"title:(machine, learning)",,,,,6.0,Leeds,2020-11-24
9,Research Grid Ltd,Senior Machine Learning Engineer,Company R grid is an early-stage start-up that streamlines medical research administration using machine learning tool Job Overview We are looking for a Machine Learning Engineer with several year skill in Natural Language Processing The job responsibility include working with a team of software engineer building You should have a strong python skill understand how to production problem-solving ability and a background in mathematical modelling and statistical analysis You should be disciplined and able to deliver to deadline If you re also able to align our product with our business goal we d like to meet you Salary CompetitiveResponsibilities and Duties Build and expand NLP algorithm analytic system and other modelsPlan and manage data projectsCollaborate with a team of software engineer and data scientistsData mining data quality and integrityInterpret and analyse data problemsConceive plan and prioritise data projectsTest performance of data-driven productsVisualise data and create reportsExperiment with new model and techniquesAlign data project with organisational goalsRequirements Authorised to work in the UK without host sponsorship or have a good runway until your current visa run out Proven experience a an NLP Engineer Data Scientist Machine Learning EngineerSolid understanding of machine learning and neural of data management and visualisation techniquesExpertise in statistical analysis and modellingGood of Python R and MATLABExperience with AWSStrong organisational and leadership skillsA business mindsetDegree in Computer Science Data Science Mathematics Statistics or similar fieldBenefits Semi-flexible pay Bi-weekly or Monthly Business casual dressSmall teamStart-up environmentJob Types Full-time PermanentBenefits Store to FridayExperience AWS 2 year Science 2 year Visualisation 2 year Up 2 year Analysis and Modelling 2 year 2 year 2 year Leading 2 year Learning 2 year Review 2 year Greater London remotely Yes temporarily due to COVID-19 ,Tue Nov 24 13:59:37 2020,"title:(machine, learning)",,,,,,London,2020-11-24
