,company,job_title,job_descr,time_of_scrape,job_search_term,job_location,salary_from_page_source_as_stated,salary_from_page_source_conv_hourly,salary_from_page_source_time_period,Num_reviews,Loc_from_title,date
0,GroupM Data & Technology,Data Scientist - FaaS Live Panel,At the heart of the world s leading medium agency network is a future-facing building the tool to make medium work for everyone In partnership with the globe s leading client agency team and technology platform we re using our privileged position to help our customer ascend to vantage point unique in our industry Our team bring together agile product management data science and enterprise scale engineering to build product that will shape the next decade of data driven marketing We privacy brand growth and user experience are essential to performance and the sustainability of the advertising ecosystem and have assembled a global team with diverse skill and experience to help shape that future Position Overview GroupM s Data Technology team is looking for a Data Scientist reporting into the Senior Manager and closely partnering with the product engineering and architecture practice to help develop and improve the product offering of GroupM Data Technology GDT You will be joining a large team of data scientist with experience and expertise in a wide range of methodology toolkits and application to a variety of problem in the medium landscape You with other practice member a well a the member of the GDT s LIVE Panel team to help improve and enrich data and additional offering This reach from hypothesis testing data experiment and and prescriptive analysis over the development of data fusion a a service FaaS to data integration and QA design Key Responsibilities Exploratory data analysis hypothesis testing data preparation and product prototyping based on modern statistical and ML AI method Actively explore and identify the latest technique related to fusion and ascription Use system and internal process efficiently and integrate these in daily work Test and develop QA process throughout the and delivery process of insight and finding to stakeholder Desirable Experience Masters or Ph D in Computer Science Mathematics Statistics Physics Economics or a related field Experience analyzing large volume of data Excellent analytical skill and strong statistical a well a interest in applying them problem Extensive experience solving analytical problem using quantitative approach A passion for empirical research and for answering hard question with data A flexible analytic approach that allows for result at varying level of precision Ability complex quantitative analysis in a clear precise and actionable manner Desirable Skills Programming proficiency in Python About GroupM Data Technology We like to say that we play with giant That s huge data set influential partner and even bigger ambition But only because we re here to make a difference As GroupM s data and technology division our mission is to create the product that make advertising work better for people With expertise in data science audience insight simulation and automation our 350-person strong team design and build software product that shape the global medium ecosystem With a partnership philosophy at the heart of everything we do we team up with the world s leading medium and technology organization including Adobe Amazon Baidu The Trade Desk Google to develop innovative solution and bring a advantage to our portfolio of client GroupM and all it affiliate embrace and celebrate diversity inclusivity and equal opportunity We to building a team that represents a variety of background perspective and skill We are a worldwide medium agency network that represents global client The more inclusive we are the more great work we can create together ,Tue Nov 24 12:53:12 2020,"title:(data, scientist)",,,,,,London,2020-11-24
1,Cloudflare,Data Scientist - Managed Rules,About Us At Cloudflare we have our eye set on an ambitious goal to help build a better Internet Today run one of the world s largest network that power trillion of request per month Cloudflare protects and accelerates any Internet application online without adding hardware installing software or changing a line Internet property powered by Cloudflare have all web traffic routed through it intelligent global network which get smarter with every request As a result they see significant improvement in performance and a decrease in spam and other attack Cloudflare wa by the World Economic Forum a a Technology Pioneer and named to Entrepreneur Magazine s Top Company Cultures list We realize people do not fit into neat box We are looking for curious and empathetic individual who to developing themselves and learning new skill and we are ready to help you do that We our mission without building a diverse and inclusive team We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare Come join u About The Team The Managed Rules Team is working on building the best in class Web Application Firewall WAF We do this by maintaining the rule that make up the WAF based on wirefilter and proactively looking for the next vulnerability across level 3-7 of the OSI Model We can do this by using our massive amount of data and work in tandem with vendor to add WAF-based protection before vulnerability are We these goal by building the next generation of tool to quickly identify and address vulnerability In response our tooling enables u to iterate quickly on rule a well a deploying to our million of customer We are a polyglot team that utilizes Rust Go and Python to build our service and tool Responsibilities This is a senior role Part of helping spin up this team is to define the responsibility This includes crafting the KPIs desired output for data science in of the WAF team s goal a well a milestone and implementation detail We anticipate a diverse set of additional responsibility that includes the following Partner with product manager data engineer and other key stakeholder in understanding the need for data insight and analytics in the area of security and fraud detection in a globally distributed environment Understand data landscape i e tooling tech stack source system etc and work closely with the Managed Rules engineer to improve the and quality Understand business product strategy and high-level roadmap and align analysis effort to enable them with data insight and help achieve their strategic goal Ability to define and spot macro and micro level trend with statistical significance on a regular basis and understand key driver driving those trend Define implement and train statistical machine learning and deep learning model Use software engineering best practice to publish model score insight learning at scale within and externally a part of our Security thought leadership Requirements Understand data landscape i e tooling tech stack source system and work closely with the data engineer and machine learning engineer to improve the and quality M S or Ph D in Computer Science Statistics Mathematics or other quantitative field 5 year of data scientist experience with proven industry experience in a large scale environment PBs scale globally distributed team Strong experience in using Python Scala or equivalent Experience with Spark SQL Tableau Google Analytics Hive and BigQuery or any other Big data Cloud equivalent Experience in defining implementing and training statistical machine learning and deep learning model Experience in using software engineering best practice to publish atscale within Proven ability to define and spot macro and micro level trend with statistical significance on a regular basis and understand key driver driving those trend Experience working with and processing and semi-structured data Proven track of applying data insight and machine learning in order to address business and drive revenue and presentation skill catered to different audience within Capable of working closely with business engineering and product team to ensure data initiative are aligned with business Strong data analytical skill taking initiative in deriving data insight and thread intelligence and proposing model and solution that can lead to quick and effective POC Strong audience-focused presentation and storytelling skill focused on key takeaway in a crisp manner Nice To Haves Experience with cyber security fraud detection Internet network Experience in productizing machine learning model Familiarity writing and optimizing advanced SQL query in Clickhouse Good Linux UNIX system What Makes Cloudflare Special We re not just a highly ambitious large-scale We re a highly ambitious large-scale with a soul Fundamental to our mission to help build a better Internet is protecting the free and open Internet Project Galileo We equip politically and artistically important organization and journalist with powerful tool to defend themselves against attack that would otherwise censor their work technology already used by Cloudflare s enterprise customers-at Athenian Project We created Athenian Project to ensure that state and local government have the highest level of protection and reliability for free so that have access to election information and voter registration Path Forward Partnership Since 2016 we have partnered with Path Forward a nonprofit organization to create 16-week position for mid-career professional who want to get back to the workplace after taking time off to care for a child parent or loved one 1 1 1 1 We released 1 1 1 1 to help fix the foundation of the Internet by building a faster more secure and privacy-centric public DNS resolver This is available publicly for everyone to use it is the service Cloudflare ha ever Here s the deal we don t store client IP address never ever We to abide by our privacy policy and ensure that no user data is sold to advertiser or used to Sound like something you d like to be a part of We d love to hear from you Cloudflare is proud to be an equal opportunity employer We to providing equal employment opportunity for all people and place great value in both diversity and inclusiveness All qualified applicant will for employment without regard to their or any other person s perceived or actual religion sex gender gender identity gender expression sexual orientation national origin ancestry citizenship age physical or mental disability family care status or any other basis protected by law We are an AA Veterans Disabled Employer Cloudflare provides reasonable to qualified individual with disability Please tell u if you require a reasonable to apply for a job Examples of reasonable include but are not limited to changing the application process providing document in an alternate format using a sign language interpreter or using specialized equipment If you require a reasonable to apply for a job u via e-mail at or via mail at 101 Townsend St San CA 94107 ,Tue Nov 24 12:53:17 2020,"title:(data, scientist)",,,,,,London,2020-11-24
2,Cathcart Associates,Lead Data Scientist,Lead Data Scientist required by an early stage well-funded start-up who are looking to build a first in class solution which will have data science at it heart The role You will be the only person in the data team right now with a chance to work closely with the CTO and CEO to build out your own team The initial solution ha been built and you ll be able to lean on an initially so it s not blank canvas but there is still lot to do You ll be working at a small start-up so you can expect no two day to be the same and you ll get the chance to be involved in pretty much everything from the start From a data perspective they have lot of it the problem they are solving is novel and the application is pretty obvious so all in all a good place to be You To be successful in the role you ll have to with working in a small start-up where some day might be a bit mad and you ll roll up the sleeve and get involved in just about everything You ll need to in your skill a a Data Scientist with the ability to talk to non-data people about your work Communication is key From a tech perspective everything ha been written in Python Django and there is a big focus on neural network and system within the solution so experience here would be ideal The Company Your is trying to solve an age old problem but at it from a slightly different angle which is not only interesting from a business perspective but also a data perspective They are also able to use this system in numerous different industry making the potential for diversification very intriguing Established by an industry expert and backed by some impressive investor they have big plan and a machine learning is such a key part to this this role is critical Salary Package The role is with an early stage start-up so a you might expect the benefit list isn t huge However they are offering 60-85k salary depending on experience they re happy to chat to Senior Data Scientists Lead Data Scientists Principal Data Scientists or Heads of if they are keen to still be hand on hence the range On top of this you ll get generous stock option a a very early employee and flexibility to work from anywhere you want a long a post-pandemic you are happy to get to their London HQ from time to time The interview process is very simple Chat to CEO learn about the business and ask any question you may have Chat to their Consultant Data Scientist CTO on a more technical level Presentation to CTO CEO and Consultant on a particular data topic Click on the link to apply Jordan at Cathcart Associates for a further chat ,Tue Nov 24 12:53:23 2020,"title:(data, scientist)",,85000.0,44.78,Y,,London,2020-11-24
3,BMT Group,Data Scientist,Principal Data Scientist We have opportunity to join our growing team of Data Specialists across Data Scientists Data Engineers and Solution Architects We have office in Bath London Barrow near Portsmouth and Plymouth and we also promote remote working There is often travel required to customer site or to attend meeting with many of our customer being in the South West and London area What is the role and what are we looking for As a Data Scientist you will be empowered to develop implement and support internal R D project a well a delivering external R D project to our customer Applying your and experience you will build our AI Data Science portfolio to support winning future work As part of this varied role you will to bid and proposal writing The successful candidate will have a love of problem solving and but also have the drive and ability to work independently To thrive in this role you will A degree in a numerical subject such a Machine Learning Natural Language Processing Data Science Computer Science Statistics Physics or Engineering Practitioner experience of Python and or R in particular package such a Pandas Numpy SciPy Matplotlib or equivalent Experience of and or interest in Machine Learning data science statistical data analysis and data visualisation Confidence to build relationship with both internal team and external customer and the ability effectively with both technical and non-technical audience You should expect to lead team including developing new capability and skill and supporting others whilst doing so As a technical lead you can expect to deliver the creation of new solution whilst supporting the bidding and delivery process Often a the sole data specialist on a project you should be able effectively with client and support the wider business development effort where possible Please note some of the project within our Information Systems team require UK Government security clearance The successful candidate will need to hold or be able to gain UK Government security clearance What can we offer you You will be part of an yet growing AI and Data Science Team We value building a diverse team of data professional where together we can provide outstanding expertise and benefit to our customer From an internal perspective our team is at the forefront of the business s digital strategy We are responsible for finding solution to some of the important data challenge within BMT and improving our product From an external perspective we provide professional data support to our customer ranging from providing expertise in Data Architecture Data Governance and Data Management to support customer internal data initiative R D in the form of rapid prototype generation using data science Machine Learning and AI technique to supporting our customer using transfer session Our external project include designing prototyping and building next-generation data science machine learning service that support overall solution development We deliver innovation project across a range of Technology Readiness Levels TRLs We often work with the customer to source data set perform exploratory data analysis what approach will be most appropriate given their problem We interact with them develop solution to meet their Some of our recent project have Automating the process of transforming satellite image into map to support disaster relief responder Using the Unity game engine to train a drone to land on a ship in a virtual environment vision to detect terrorist propaganda in Using Natural Language Processing to develop tooling for the BMT TechDocs team to scanned PDFs into structured information up manual process Anomaly detection for detecting anomalous landing from aircraft flight data Data governance for a Cyber Security customer BMT is an equal opportunity employer and to eliminating discrimination and diversity amongst it workforce To view our full policy please click here http www bmt org career our-benefits diversity-and-equality The wellbeing of the team is central to our success so workload are managed effectively and we don t have a work late culture On top of this we have a host of benefit and family friendly policy designed to support our people What do we do BMT is a leading serving defence and security customer We are known for our innovation expertise and ability to tackle the design and system issue We are platform agnostic we provide unbiased advice and choose the best approach for our client Apply online Does this sound like you If so please apply below To keep up to date with the latest BMT news follow u on Twitter Facebook YouTube Apply for this role ,Tue Nov 24 12:53:29 2020,"title:(data, scientist)",,,,,2.0,Bath,2020-11-24
4,Spinwell Global,Data Scientist - JID 9770,Role Data Scientist REF 30456Contracting Authority Central GovernmentContract Length 6 MonthsLocation Remote In ScopeSalary 400 per day Umbrella Security Clearance BPSSJob Description Please call for more information on this role Minimum Requirement Skilled in PythonExperience with Jupyter Notebook and AWS platformPublic sector backgroundJob Types Full-time Temporary ContractSalary 400 00 per day ,Tue Nov 24 12:53:34 2020,"title:(data, scientist)",,400.0,54.79,D,,Home Based,2020-11-24
5,KANTAR,Graduate Data Scientist,We go beyond the obvious using intelligence passion and creativity to inspire new thinking and shape the world we live in To start a career that is out of the ordinary please apply Job Details Graduate Data Scientist West London W5 1UA Does the generation of evidence based insight through the analysis of shopper behaviour appeal to you Are you excited by the prospect of solving some of the biggest issue facing FMCG manufacturer Are you inquisitive willing to challenge and be Kick start your career in one of the 2018 Best Workplaces in the UK a selected by Great Places to Work Our Team Our Worldpanel Plus team are working to develop and deliver an investment in the future of our panel research business Our exciting new service harness the power of people s own smart phone to allow u to quantify and understand the behaviour and motivation of any shopping trip in any store whenever and wherever The new service ha been live for a year and is supported by a team of Worldpanel Plus expert to sell analyse deliver and develop the service and analytical team is supported by a team of operational and system specialist some of our best expert across a range of discipline but it now must grow further to help u extend our capability A of this Worldpanel Plus team is a pool of analyst who will have the skill and curiosity to explore and interpret the research data to bring new benefit to our client Embodying the spirit of a start-up enterprise the remit of analyst in the new team and the type of work required will be broad and This will range from exploratory investigation to gauge the utility of the new datasets plenty of research project testing of new research capability and work to help develop smart algorithm that can improve the efficiency and quality of the information we can extract What your day-to-day role with u would include Growing your retail and research industry and developing strong analytical and story-telling ability to help inspire our client to make successful decision using an exciting new dataset Employing a range of analytical technique using software such a SAS R and Python to find the evidence that help u solves marketing problem Undertaking analytical investigation into the quality and utility of the new data and influencing how it should best be used and Working to expand the frontier of the Worldpanel Plus service by testing new analytical idea creating more intelligent method of data processing and supporting research into new way data through the smartphone Work with a and client including research expert sale and client handling people system developer and operational specialist What you will bring to our team A fascination how they behave and the choice they make Your love of diving into numerical data exploring and interpreting what you You won t be able to wait to demonstrate your strong analytical thinking skill A desire to share idea with your team to the overall team objective An engaging style with the ability to insight derived data set A genuine curiosity and enthusiasm for understanding the market our client operate in 2 1 or above University degree numerical scientific subject 280 UCAS point Grade B or above for Maths and English at GCSE Maths A Level preferred Why Kantar Worldpanel We offer to all our new graduate exposure our graduate have delivered their point of view to some of the biggest brand name out there a well a many others training programme which will pave the way for you to have a fantastic career in delivering truly amazing insight A two week induction programme where you will have the chance to learn more about our culture and to hit the ground running Opportunity to present your thinking experience and potential to the senior management team supporting you with your ongoing development and progression Accelerated career path and opportunity to expand your skill People growth drive our business success and we are proud that over half of our vacancy are filled through internal move and promotion About Us Kantar Worldpanel is the global expert in shopper behaviour monitoring advanced analytics and tailored solution Kantar Worldpanel inspires successful decision by brand owner retailer market analyst and government organisation globally With over 60 year experience a team of 3 500 and directly or through partner Kantar Worldpanel turn purchase behaviour advantage in market a diverse a FMCG impulse product fashion baby and entertainment among many others About Kantar Kantar is one of the world s leading data insight company Working together across the whole spectrum of research discipline it specialist brand employing 30 000 people provide inspirational insight and business strategy for client in Kantar is part of WPP and it service are employed by over half of the Fortune Top Location The nearest station to our office is Hanger Lane Station on the Central Line which is only a 5 minute walk away Park Royal on the Piccadilly Line is also reasonably nearby located within 15 minute walking distance How to Apply Please click the link provided to apply All applicant must be eligible to live and work in the UK Documented evidence of eligibility will be required from candidate a part of the recruitment process At Kantar the diversity of our employee provides a richer environment for our employee and broader depth and breadth of thinking for our client Kantar to inclusion and diversity therefore we application from all section of society and do not discriminate on the basis of age race religion gender pregnancy sexual orientation gender identity disability marital status or any other legally protected characteristic Please note that by applying to this opportunity to the personal data you provide to u to be processed and retained by The Kantar Group Limited Kantar Your detail will be kept on our Internal ATS Applicant Tracking System for a long a is necessary for the purpose of recruitment which may include your detail being shared with the hiring manager s and for potential future opportunity by Kantar and it affiliate Kantar For full detail of our privacy policy please visit Location London WestgateUnited Kingdom Kantar Rewards Statement At Kantar we have an integrated way of rewarding our people based around a simple clear set of principle Our approach help to ensure we are and also to support a pay for performance culture where your reward and career progression opportunity are linked to what you deliver Kantar is the world s leading data insight company We understand more about how people think feel shop share vote and view than anyone else Combining our expertise in human understanding with advanced technology Kantar s 30 000 people help the world s leading organisation succeed and grow ,Tue Nov 24 12:53:40 2020,"title:(data, scientist)",,,,,1105.0,London,2020-11-24
6,Cogstate,Data Scientist,Build develop deploy data model reporting system data automation system dashboard and performance metric Maintain reporting system and dashboard Support the creation of data visualization tool and Statistical Analysis Plans Collaborate with business development science scientific service project management scale management statistic and data management team internally and to support data related process and question Support research including scientific publication Maintain data management and scientific operation Monitoring of study data in Cogstate s data management information in preparation for interaction with auditor Identify and lead one or more of process improvement initiative by seeking to understand client and engaging Cogstate staff across If acting a SME serve a the main point for Operations and Project Management staff for issue related to the area of expertise including but not limited to managing all associated material training process improvement and liaising with other department a necessary Review Rare Disease and Pediatric clinical trial and advise on trial methodology and endpoint selection Interact with sponsor to resolve scientific query and participate in study planning Support the development of rater training material for Rare Disease and Pediatric trial Support the creation of Statistical Analysis Plans for Rare Disease and Pediatric trial Collaborate with scale management on creation of source document for Rare Disease and Pediatric trial Interact with project management scale management statistic and data management team internally to support scientific process and question Write clinical study report analytic report and business requirement document Drive research including scientific publication on Rare Disease trial measure rater training and trial methodology Maintain scientific operation objective and timeline Requirements Graduate Degree in Statistics Mathematics Computer Science Data Science or closely related field Minimum 3 year experience in data science Experience with data basing data analysis statistic and data visualization Strong programming skill SAS R and query language SQL Experience with data science tool data visualization tool and cloud environment e g Azure Power BI SQL server SAS visual analytics Spotfire JMP R graphic Firebase Google analytics Other programming and database experience a plus Experience in a science setting Strong verbal and skill Proven ability to successfully manage a full workload across multiple-projects with limited direct oversight Excellent problem solving decision making skill Ability to work in a team-oriented environment Exceptional time and resource management Benefits Cogstate is a focused on optimizing the measurement brain function to guide decision-making in clinical trial academic research and healthcare rapid reliable and highly cognitive test and provides expert support for traditional neurological assessment Science innovation and excellence in delivery are at of everything we do Cogstate offer health dental and vision benefit a well a 401K plan matching Cogstate Inc provides equal employment opportunity to all employee and applicant for employment without regard to religion sex sexual orientation gender identity national origin age disability or genetics Cogstate Competencies essential to achieving and executing our goal at every level Do the Right thing We are honest and dependable We keep our promise act with integrity and foster trust through fairness transparency and Think like a customer We see our customer challenge a our own and strive to help them We listen learn what make them tick and adapt to creatively meet their Take care of each other We work together to tackle big challenge that can only be achieved through and caring effort of diverse individual We show appreciation value difference and celebrate win Lead with science We are curious thinker who use and data to challenge the status quo and redefine what is possible We are expert in our field who are trusted by our customer Own it We are to excellence and hold ourselves to high standard We are problem solver at heart and quick to both identify obstacle and bring solution Work hard We show resilience in the face of hardship to do the messy work of innovating We stick to difficult task with grit and determination We iterate experiment and embrace failing forward See the big picture We are driven by an understanding that the work we do matter Our to the mission may be different but we know our why and it motivates u to do our best work ,Tue Nov 24 12:53:45 2020,"title:(data, scientist)",,,,,,Home Based,2020-11-24
7,Kelkoo LTD,Senior Data Scientist,Kelkoo Group in a nutshell Kelkoo Group is the leading pan-European online marketing platform and merchant Our product range offer high quality traffic and increase online sale for e-merchants Managing 275 million offer per day we are a dynamic player Kelkoo group ha created an innovation friendly environment where each team member can propose new project or technology that can benefit the entire group Job Context Our business is based on high volume of user interaction with low margin Optimisations are crucial and for this we use Machine Learning technique As a Senior Data and Deep Learning scientist within the Engineering organisation you are integrated in our Science team working to Agile methodology Scrum in with other R D team You will work a part of a Data Scientists and Data Engineer team that will allow you to make progress in your skill and acquire new one Your mission The main mission of the team you will join are Working on multiple open source machine learning and deep learning solution adapted to our problem Prototyping solution to optimize the Kelkoo business like automated auction bidding offer categorization entity Participate in the implementation of software layer allowing the aggregation and automated analysis of a large number of data on grid Understand our business and propose new project To keep you informed of the state of the art in research area related to our activity We allow each data scientist enough time to learn and experiment new idea Job profile You have obtained a master s degree or Phd or equivalent You have validated your skill in Machine Learning during a previous experience You understand and practice Deep Learning You have programming skill Python and or Scala language applied to data and mathematics in a Big Data universe You are willing to learn and progress in technology related to data analysis and automated learning The ideal candidate will have An in-depth of Machine Learning principle and Deep Learning A pronounced taste for technology watch Proven Linux A practice of Big Data platform Spark Hadoop TensorFlow etc Would be a plus of Agile methodology Extreme Programming Scrum of Spark or even Spark ML and of the Scala programming language Success factor You have skill and enjoy working in a team You are autonomous You work rigorously and seriously in a good mood You are sensitive to product quality and understand the business issue You are interested in solving problem which require a good understanding of our business ,Tue Nov 24 12:53:51 2020,"title:(data, scientist)",,,,,,London,2020-11-24
8,Expedia Group,Data Scientist III (Senior),Are you up for your next challenge where you can really flex your skill in Data Science and Machine Learning Would you like to work in the customer-focused and data-rich world of travel technology bringing the world within reach for million of people to grow our Data Science team We are looking for a Senior Data Scientist to use Machine Learning to optimize and enrich on our travel platform across Group This key role involves building algorithm to solve high-impact sophisticated problem using technology and approach while working in a diverse team environment If you are passionate in using Data Science and Machine Learning to build data powered product tackle challenging problem and are seeking a high-profile role in which you ll be able to directly impact million of our customer and partner around the world be the role for you WHO YOU ARE MSc or PhD degree in any of the following field machine learning vision mathematics with strong machine 3 year hand on experience in machine learning in production building datasets selecting and engineering feature building and optimizing algorithm Experience in some of the following domain Computer Vision NLP Deep Learning Learn-to-Rank Systems Regression Classification Clustering Experience with machine learning package such a TensorFlow PyTorch Keras Python scikit-learn panda numpy scipy Matplotlib Spark MLlib etc Real world experience with Internet scale data on Spark Hadoop or similar platform highly Good data manipulation skill required including cleaning and managing data Good programming practice ability to write readable Intellectual curiosity and desire to learn new thing technique and technology WHAT YOU WILL DO Build deploy and optimise machine learning model which support acquisition enrichment and relevance activity Work in close partnership with Content Product Data and Technology team to identify solution for Data Science problem to the timely delivery of key project Contributing to our data and ML infrastructure to help the whole team work more effectively WHY JOIN US Group our success is dependent on the success of our people We are the world s travel platform made up of the most passionate and creative people in our business Our brand the power of travel to break down barrier and make people s life better that responsibility inspires u to be the place where exceptional people want to do their best work and to provide them the tool to do so Whether you re applying to work in engineering or customer support marketing or lodging supply at Group we act a one team working towards goal to bring the world within reach We relentlessly strive for better but not at of the customer We act with humility and optimism respecting idea big and small We value diversity and voice of all volume We are a global organization but keep our foot on the ground so we can act fast and stay simple Our team also have the chance to give back on a local level and make a difference through social responsibility program Cares If you have a desire to make a difference with one of the most brand in the world and to work in the dynamic travel industry this is the job for you Our family of travel brand includes Brand Partner Solutions Egencia trivago VRBO Orbitz Travelocity Wotif ebookers CheapTickets Hotwire Classic Vacations Media Solutions Local Expert CruiseShipCenters SilverRail Technologies Inc ALICE and Traveldoo to creating an inclusive work environment with a diverse workforce All qualified applicant will for employment without regard to race religion gender sexual orientation national origin disability or age ,Tue Nov 24 12:53:56 2020,"title:(data, scientist)",,,,,920.0,London,2020-11-24
9,"Council for the Curriculum, Examinations & Assessment (CCEA)",Data Scientist – Project Lead,This is a permanent employment position with CCEA Full-Time Salary 40K 50K Closing Date December 8 2020 at 12 00 CCEA place itself at the heart of the Northern with a remit that includes the development of the school curriculum regulating qualification examination and assessment CCEA place itself at the heart of the Northern with a remit that includes the development of the school curriculum regulating qualification examination and assessment Our mission is to enable the full potential of all learner to be achieved and CCEA are currently looking to recruit a lead Data Scientist to lead a range of innovative project to support CCEA in delivering it aim This is an exciting role that will help CCEA Awarding Body interpret and manage data and problem using expertise in a variety of data niche The role will focus on data management analytics modelling and examination and assessment business analysis to support Awarding Body and Curriculum decision This post is offered on a basis Further detail are available by email Applications must be submitted by 12 noon on Tuesday 8 December 2020 Please note interview are anticipated to be held in the 14 December 2020 CCEA is an internationally quality to the promotion of equality in all aspect of employment ,Tue Nov 24 12:54:02 2020,"title:(data, scientist)",,50000.0,26.34,Y,,Belfast,2020-11-24
